fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,brand,model,price
Petrol,2998,6,4,Automatic,46,Sedan,450,5000,281,6000,BMW,7 Series,15900000
Diesel,2925,6,5,Automatic,0,Sedan,600,3200,281,4600,Mercedes-Benz,E-Class,7600000
Electric,0,0,5,Electric,0,Sedan,430,0,335,0,BMW,i4,6990000
Diesel,2997,6,5,Automatic,0,SUV,700,3000,345,4000,Land,Rover Range Rover Sport,17400000
Petrol,5000,8,2,Automatic,70,Coupe,580,500,443,6000,Jaguar,F-TYPE,12556500
Petrol,999,3,5,Automatic,28,Hatchback,91,4250,67,5550,Datsun,redi-GO,447000
Diesel,1995,4,5,Automatic,51,Sedan,400,2500,187,4000,BMW,2 Series,4300000
Diesel,1898,4,5,Automatic,0,SUV,360,2500,160,3600,Isuzu,D-Max,2000000
Diesel,2993,6,5,Automatic,0,Sedan,620,2500,261,4000,BMW,5 Series,6950000
Petrol,1984,4,5,Automatic,55,SUV,320,4180,187,6000,Audi,Q2,4194000
Petrol,3982,8,7,Automatic,90,SUV,730,4500,549,6500,Mercedes-Benz,GLS,18150000
Petrol,3996,8,5,Automatic,90,SUV,770,4500,550,6000,Porsche,Cayenne,16000000
Diesel,1997,4,5,Automatic,52,SUV,400,2000,174,3750,Citroen,C5 Aircross,3301000
Petrol,1198,3,5,Automatic,35,Hatchback,104,4400,76,6000,Datsun,GO,527000
Petrol,1969,4,5,Automatic,0,Sedan,300,0,190,0,Volvo,S60,4590000
Petrol,2894,6,5,Automatic,65,SUV,550,5600,434,6600,Porsche,Macan,11510500
Petrol,1997,4,5,Automatic,61,Sedan,365,4000,246,5500,Jaguar,XE,4757000
Electric,0,0,5,Electric,0,MUV,180,0,93,0,BYD,E6,2915000
Petrol,4999,8,5,Automatic,82,SUV,700,5000,543,6500,Jaguar,F-Pace,11544000
Petrol,1199,3,5,Automatic,35,Hatchback,113,3300,84,6000,Tata,Tiago NRG,690000
Petrol,1198,3,6,Manual,35,Hatchback,115,3600,82,5500,Mahindra,KUV 100 NXT,701000
Electric,0,0,4,Automatic,0,Hatchback,270,1000,181,0,Mini,Cooper SE,5090000
Electric,0,0,5,Electric,0,Coupe,664,0,300,0,Audi,e-tron,11000000
Petrol,1198,3,7,Automatic,35,MUV,104,4400,76,6000,Datsun,GO Plus,563000
Petrol,3982,8,5,Automatic,0,SUV,850,3500,576,6000,Mercedes-Benz,AMG G 63,25500000
Petrol,3982,8,2,Automatic,75,Coupe,700,5500,576,6250,Mercedes-Benz,AMG GT,27100000
Petrol,2487,4,5,Automatic,65,Sedan,202,5200,214,5700,Lexus,ES,6255000
Electric,0,0,5,Electric,0,Wagon,650,0,482,0,Porsche,Taycan,19350000
Petrol,3456,6,4,Automatic,82,Sedan,350,5100,354,6600,Lexus,LS,20650000
Petrol,6750,12,5,Automatic,0,SUV,850,1600,563,5000,Rolls-Royce,Cullinan,69500000
Diesel,1898,4,7,Automatic,55,SUV,360,2500,160,3600,Isuzu,MU-X,3645000
Electric,0,0,5,Electric,0,SUV,630,0,321,0,BMW,iX,11600000
Petrol,5950,12,4,Automatic,90,Sedan,900,4500,626,6000,Bentley,Flying Spur,33150000
